Starting Lineups,,,,,,,Subs,,,,
GamerName,RealName,Team,Team Abbr.,Position,,,GamerName,RealName,Team,Team Abbr.,Position
Summit,Park Woo-tae,Cloud9,C9,Top,,,Winsome,Kim Dong-keon,Cloud9,C9,Support
Blaber,Robert Huang,Cloud9,C9,Jungle,,,Tenacity,Milan Oleksij,100 Thieves,100,Top
Fudge,Ibrahim Allami,Cloud9,C9,Mid,,,,,,,
Berserker,Kim Min-cheol,Cloud9,C9,ADC,,,,,,,
Isles,Jonah Rosario,Cloud9,C9,Support,,,,,,,
FakeGod,Aaron Lee,Dignitas,DIG,Top,,,Favorites,,,,
River,Kim Dong-woo,Dignitas,DIG,Jungle,,,GamerName,RealName,Team,Team Abbr.,Position
Blue,Ersin Gören,Dignitas,DIG,Mid,,,Darshan,Darshan Upadhyaya,Cloud9,C9,Top
Neo,Toan Tran,Dignitas,DIG,ADC,,,Zven,Jesper Svenningsen,Cloud9,C9,ADC
Biofrost,Vincent Wang,Dignitas,DIG,Support,,,Svenskeren,Dennis Johnsen,Evil Geniuses,EG,Jungle
Kumo,Colin Zhao,FlyQuest,FLY,Top,,,IgNar,Lee Dong-guen,Evil Geniuses,EG,Support
Josedeodo,Brandon Villegas,FlyQuest,FLY,Jungle,,,AnDa,Andy Hoang,Immortals,IMT,Jungle
toucouille,Loïc Dubois,FlyQuest,FLY,Mid,,,Arrow,Noh Dong-hyeon,Immortals,IMT,ADC
Johnsun,Johnson Nguyen,FlyQuest,FLY,ADC,,,Stixxay,Trevor Hayes,Golden Guardians,GG,ADC
aphromoo,Zaqueri Black,FlyQuest,FLY,Support,,,Smoothie,Andy Ta,Golden Guardians,GG,Support
Ssumday,Kim Chan-ho,100 Thieves,100,Top,,,,,,,
Closer,Can Çelik,100 Thieves,100,Jungle,,,,,,,
Abbedagge,Felix Braun,100 Thieves,100,Mid,,,,,,,
FBI,Victor Huang,100 Thieves,100,ADC,,,,,,,
huhi,Choi Jae-hyun,100 Thieves,100,Support,,,,,,,
Impact,Jeong Eon-yeong,Evil Geniuses,EG,Top,,,,,,,
Inspired,Kacper Słoma,Evil Geniuses,EG,Jungle,,,,,,,
jojopyun,Joseph Pyun,Evil Geniuses,EG,Mid,,,,,,,
Danny,Kyle Sakamaki,Evil Geniuses,EG,ADC,,,,,,,
Vulcan,Philippe Laflamme,Evil Geniuses,EG,Support,,,,,,,
Bwipo,Gabriël Rau,Team Liquid,TL,Top,,,,,,,
Santorin,Lucas Larsen,Team Liquid,TL,Jungle,,,,,,,
Bjergsen,Søren Bjerg,Team Liquid,TL,Mid,,,,,,,
Hans sama,Steven Liv,Team Liquid,TL,ADC,,,,,,,
CoreJJ,Jo Yong-in,Team Liquid,TL,Support,,,,,,,
Huni,Heo Seung-hoon,Team SoloMid,TSM,Top,,,,,,,
Spica,Mingyi Lu,Team SoloMid,TSM,Jungle,,,,,,,
Keaiduo,Zhu Xiong,Team SoloMid,TSM,Mid,,,,,,,
Tactical,Edward Ra,Team SoloMid,TSM,ADC,,,,,,,
Shenyi,Wei Zi-Jie,Team SoloMid,TSM,Support,,,,,,,
Revenge,Mohamed Kaddoura,Immortals,IMT,Top,,,,,,,
Xerxe,Andrei Dragomir,Immortals,IMT,Jungle,,,,,,,
PowerOfEvil,Tristan Schrage,Immortals,IMT,Mid,,,,,,,
WildTurtle,Jason Tran,Immortals,IMT,ADC,,,,,,,
Destiny,Mitchell Shaw,Immortals,IMT,Support,,,,,,,
Jenkins,Thomas Tran,Counter Logic Gaming,CLG,Top,,,,,,,
Contractz,Juan Garcia,Counter Logic Gaming,CLG,Jungle,,,,,,,
Palafox,Cristian Palafox,Counter Logic Gaming,CLG,Mid,,,,,,,
Luger,Faith Güven,Counter Logic Gaming,CLG,ADC,,,,,,,
Poome,Philippe Lavoie-Giguere,Counter Logic Gaming,CLG,Support,,,,,,,
Licorice,Eric Ritchie,Golden Guardians,GG,Top,,,,,,,
Pridestalker,Milo Wehnes,Golden Guardians,GG,Jungle,,,,,,,
Ablazeolive,Nicholas Abbott,Golden Guardians,GG,Mid,,,,,,,
Lost,Lawrence Hui,Golden Guardians,GG,ADC,,,,,,,
Olleh,Kim Joo-sung,Golden Guardians,GG,Support,,,,,,,